unique_input_record_identifier	input_title	lookup_key	lookup_key_given	database_song_code	database_song_title	database_song_writers
71piNzA61VqdBPbTmRPsYb	Albatross	ALBATROS	ALBATROS	147465517	ALBATROSS (FROM 'MAN ON WIRE')	A GREEN P
7GzI0Jk377Qpch8KtHvyKq	Sem Ti	SEMTI	SEMTI	145983679	SEM TI	ANSELMO RALPH/ANSELMO RALPH/NELLSON KLAS
0NdWmjRN9DUT7k7QpMMEYk	Thanu Vethikina	THANUVETHIKINA	THANUVETHIKINA	154545022	THANU VETHIKINA	GOPI SUNDAR/SIRIVENNELA SEETHARAMA SASTR
6IF3S46wTRtaQimGtURfmM	Umpa Lumpa	UMPALUMPA	UMPALUMPA	135909108	UMPA LUMPA	LODERBAUER M/THIEL T
6D0XmEAG67nJF3ygIVZCOO	Quickdraw	QUICKDRAW	QUICKDRAW	135600177	QUICKDRAW	SANTILLA/DEXTER/CAMPBELL/DOCHSTADER/MACK
3bRUvmYOZ8tqguEGWyVmYE	Mittelfinga hoch	MITELFINGAHOCH	MITELFINGAHOCH	148279340	MITTELFINGA HOCH	BROWN W/ZEMICHIEL R/SORGE S
53jogSv23P6DFcOHcZrDs9	Save Me	SAVEME	SAVEME	139728997	SAVE ME	BAKER/SULLIVAN/SANDERS/HANER/SEWARD
55426eqWLGsLRzCHp0mlxA	Am I Right?	AMIRIGHT	AMIRIGHT	104627919	AM I RIGHT	CLARKE V/BELL A
6usHxH3iCQC3ETkIWG36Km	Disappear	DISAPEAR	DISAPEAR	136792481	DISAPPEAR	EISENSTIEN/HANLEY/MCKENNA/RIEBLING
70Vc2mCfevAjiM6O1vfGXR	Dipped In Ice	DIPEDINICE	DIPEDINICE	155319678	DIPPED IN ICE	GIBSON/HARPER/MARTINEZ/BORRI/CORBETT/HOL
6Pbwhr9C4ddhsKLbnd6Ydg	Blue Fiddle	BLUEFIDLE	BLUEFIDLE	145412028	BLUE FIDDLE	MORAVEC VINCENT PAUL
3gW8N0jXhpnaw4R25UsRIL	Shake Your Money Maker	SHAKEYOURMONEYMAKER	SHAKEYOURMONEYMAKER	103461019	SHAKE YOUR MONEY MAKER	JAMES ELMORE
4IB3eXd1V1aCdJFYS7mU7T	Three Guesses	THREEGUESE	THREEGUESE	136531862	THREE GUESSES	SCOTT L/SCOTT L
3PsNZLdClHYTnpQ8RS9fyG	Be Ma Fela	BEMAFELA	BEMAFELA	149753201	BE MA FELA	TIAGO NOVO
1TUQrPj7jp0uc3cmS6kCzr	Finally	FINALY	FINALY	148392992	FINALLY	PAULINE HENRY
4dgbAhd966nEBgVhsG6HoT	Sahaja (Relaxing Yoga Music)	SAHAJA	SAHAJA	149732029	SAHAJA (YOGA MUSIC)	NIEZNANY/MARCO RINALDO
6Yp57oaKt49cLiACXsWz7p	Batyar (Bigmouth Strikes Again)	BATYAR	BATYAR	119720748	BATYAR	MORRISSEY S/MARR J
15cSr8Q5KzlSg6c3swnTrw	The Window up Above	WINDOWUPABOVE	WINDOWUPABOVE	100521810	WINDOW UP ABOVE	JONES GEORGE
7b0TbASq3JHtj54SDVJQWJ	The Breeze And I	BREEZE&I	BREEZE&I	101049552	BREEZE AND I	LECUONA-CASADO E/STILLMAN A
3OnclyqyU6kYhf3Swix1SS	Siete homicidios	SIETEHOMICIDIO	SIETEHOMICIDIO	144918347	SIETE HOMICIDIOS	RODRIGO MIRANDA/RODRIGO MIRANDA
1TbuDl6GklIG7zy5fSiNni	Nessun Dorma	NESUNDORMA	NESUNDORMA	146604713	NESSUN DORMA	GIACOMO PUCCINI/ARR HOUSEMAN
0rH0nZVbFR4ny1lN1PNSfC	You Don't Want to Get You One of Those	YOUDONTWANTTOGETYOUONEOFT	YOUDONTWANTTOGETYOUONEOFT	152879414	YOU DON'T WANT TO GET YOU ONE OF THOSE	KNOPFLER MARK
3JDPO6psvw4EZYAHOJVNd7	Go into Your Dance	GOINTOYOURDANCE	GOINTOYOURDANCE	200452605	GO INTO YOUR DANCE	WARREN HARRY
